Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UBRG,"430 - 440 MHz
","438,8000 MHz
","431,2000 MHz
",RU704,67 Hz,IN51TM,"41º 30' 52"" ,700 N","08º 23' 42"" ,040 W"
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAST,"430 - 440 MHz
","439,2000 MHz
","431,6000 MHz
",RU736,123 Hz,IN51SH,"41º 19' 31"" ,150 N","08º 26' 51"" ,630 W"
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0VBRG,"144 - 146 MHz
","145,7000 MHz
","145,1000 MHz
",RV56,123 Hz,IN51TM,"41º 30' 52"" ,700 N","08º 23' 42"" ,040 W"
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UPRT,"430 - 440 MHz
","439,4250 MHz
","431,8250 MHz
",RU754,123 Hz,IN51QC,"41º 06' 32"" ,200 N","08º 35' 25"" ,000 W"
Associação de Radioamadores do Minho,Portugal Continental,Estação repetidora de modulação analógica,CQ0UCVM,"430 - 440 MHz
","439,0250 MHz
","431,4250 MHz
",RU722,67 Hz,IN51XP,"41º 38' 20"" ,200 N","08º 02' 37"" ,100 W"
Associação de Radioamadores do Oeste,Portugal Continental,Estação repetidora de modulação analógica,CQ0VVAR,"144 - 146 MHz
","145,6375 MHz
","145,0375 MHz
",RV51,"74,4 Hz",IM59IC,"39º 05' 10"" ,450 N","09º 16' 34"" ,360 W"
Associação de Radioamadores do Oeste,Portugal Continental,Estação repetidora de modulação analógica,CQ0UVAR,"430 - 440 MHz
","438,7500 MHz
","431,1500 MHz
",RU700,"74,4 Hz",IM59IC,"39º 05' 10"" ,450 N","09º 16' 34"" ,360 W"
Associação de Radioamadores do Ribatejo,Portugal Continental,Estação repetidora de modulação analógica,CQ0UMO,"430 - 440 MHz
","438,9750 MHz
","431,3750 MHz
",RU718,"74,4 Hz",IM59LE,"39º 10' 29"" ,420 N","09º 03' 36"" ,620 W"
Associação de Radioamadores do Ribatejo,Portugal Continental,Estação repetidora de modulação analógica,CQ0USO,"430 - 440 MHz
","438,9500 MHz
","431,3500 MHz
",RU716,67 Hz,IM68ER,"38º 44' 20"" ,750 N","07º 35' 01"" ,310 W"
Associação de Radioamadores do Ribatejo,Portugal Continental,Estação repetidora de modulação analógica,CQ0USR,"430 - 440 MHz
","439,0750 MHz
","431,4750 MHz
",RU726,"74,4 Hz",IM59PF,"39º 14' 11"" ,320 N","08º 40' 49"" ,710 W"
